Customer Name,Date,Week,Actual Orders,Forecast Orders
PACKAGING SPECIALTIE - NA,2023-08-07 00:00:00,32,0,70
PEEL PLASTIC PRODUCT - NA,2023-08-07 00:00:00,32,3,40
PROCTER & GAMBLE - EU,2023-08-07 00:00:00,32,164,250
THE FERRERO GROUP - NA,2023-08-07 00:00:00,32,24,80
3M - NA,2023-07-31 00:00:00,31,225,180
BEIERSDORF INCORPORATED - EU,2023-07-31 00:00:00,31,141,150
BROWN FORMAN CORPORATION - NA,2023-07-31 00:00:00,31,42,50
CONAGRA - NA,2023-07-31 00:00:00,31,41,80
DANONE - EU,2023-07-31 00:00:00,31,74,77
HALEON - EU,2023-07-31 00:00:00,31,99,120
HALEON - NA,2023-07-31 00:00:00,31,29,33
INTERNATIONAL PAPER - NA,2023-07-31 00:00:00,31,9,34
JDE - EU,2023-07-31 00:00:00,31,19,30
METAL CONTAINER CORP - NA,2023-07-31 00:00:00,31,33,120
NOVOLEX - NA,2023-07-31 00:00:00,31,59,55
PACKAGING SPECIALTIE - NA,2023-07-31 00:00:00,31,0,70
PEEL PLASTIC PRODUCT - NA,2023-07-31 00:00:00,31,11,41
PROCTER & GAMBLE - EU,2023-07-31 00:00:00,31,69,250
THE FERRERO GROUP - NA,2023-07-31 00:00:00,31,7,75
3M - NA,2023-07-24 00:00:00,30,85,125
BEIERSDORF INCORPORATED - EU,2023-07-24 00:00:00,30,48,50
BROWN FORMAN CORPORATION - NA,2023-07-24 00:00:00,30,76,50
CONAGRA - NA,2023-07-24 00:00:00,30,99,70
DANONE - EU,2023-07-24 00:00:00,30,57,90
HALEON - EU,2023-07-24 00:00:00,30,113,145
HALEON - NA,2023-07-24 00:00:00,30,44,25
INTERNATIONAL PAPER - NA,2023-07-24 00:00:00,30,7,34
JDE - EU,2023-07-24 00:00:00,30,13,20
METAL CONTAINER CORP - NA,2023-07-24 00:00:00,30,33,115
NOVOLEX - NA,2023-07-24 00:00:00,30,34,48
PACKAGING SPECIALTIE - NA,2023-07-24 00:00:00,30,0,70
PEEL PLASTIC PRODUCT - NA,2023-07-24 00:00:00,30,1,52
PROCTER & GAMBLE - EU,2023-07-24 00:00:00,30,202,100
THE FERRERO GROUP - NA,2023-07-24 00:00:00,30,30,70
3M - NA,2023-07-17 00:00:00,29,108,150
BEIERSDORF INCORPORATED - EU,2023-07-17 00:00:00,29,46,50
BROWN FORMAN CORPORATION - NA,2023-07-17 00:00:00,29,86,52
CONAGRA - NA,2023-07-17 00:00:00,29,69,65
DANONE - EU,2023-07-17 00:00:00,29,40,58
HALEON - EU,2023-07-17 00:00:00,29,93,145
HALEON - NA,2023-07-17 00:00:00,29,55,21
INTERNATIONAL PAPER - NA,2023-07-17 00:00:00,29,13,34
JDE - EU,2023-07-17 00:00:00,29,15,30
METAL CONTAINER CORP - NA,2023-07-17 00:00:00,29,32,105
NOVOLEX - NA,2023-07-17 00:00:00,29,67,48
PACKAGING SPECIALTIE - NA,2023-07-17 00:00:00,29,0,70
PEEL PLASTIC PRODUCT - NA,2023-07-17 00:00:00,29,12,54
PROCTER & GAMBLE - EU,2023-07-17 00:00:00,29,226,100
THE FERRERO GROUP - NA,2023-07-17 00:00:00,29,6,70
3M - NA,2023-07-10 00:00:00,28,88,85
BEIERSDORF INCORPORATED - EU,2023-07-10 00:00:00,28,69,50
BROWN FORMAN CORPORATION - NA,2023-07-10 00:00:00,28,41,52
CONAGRA - NA,2023-07-10 00:00:00,28,74,75
DANONE - EU,2023-07-10 00:00:00,28,41,52
HALEON - EU,2023-07-10 00:00:00,28,101,145
HALEON - NA,2023-07-10 00:00:00,28,29,28
INTERNATIONAL PAPER - NA,2023-07-10 00:00:00,28,10,34
JDE - EU,2023-07-10 00:00:00,28,20,30
METAL CONTAINER CORP - NA,2023-07-10 00:00:00,28,38,120
NOVOLEX - NA,2023-07-10 00:00:00,28,75,44
PACKAGING SPECIALTIE - NA,2023-07-10 00:00:00,28,0,70
PEEL PLASTIC PRODUCT - NA,2023-07-10 00:00:00,28,1,36
PROCTER & GAMBLE - EU,2023-07-10 00:00:00,28,216,100
THE FERRERO GROUP - NA,2023-07-10 00:00:00,28,11,65
3M - NA,2023-07-03 00:00:00,27,73,150
BEIERSDORF INCORPORATED - EU,2023-07-03 00:00:00,27,151,50
BROWN FORMAN CORPORATION - NA,2023-07-03 00:00:00,27,58,45
CONAGRA - NA,2023-07-03 00:00:00,27,33,25
DANONE - EU,2023-07-03 00:00:00,27,40,80
HALEON - EU,2023-07-03 00:00:00,27,98,145
HALEON - NA,2023-07-03 00:00:00,27,20,31
INTERNATIONAL PAPER - NA,2023-07-03 00:00:00,27,13,34
JDE - EU,2023-07-03 00:00:00,27,61,20
METAL CONTAINER CORP - NA,2023-07-03 00:00:00,27,2,105
NOVOLEX - NA,2023-07-03 00:00:00,27,58,38
PACKAGING SPECIALTIE - NA,2023-07-03 00:00:00,27,0,70
PEEL PLASTIC PRODUCT - NA,2023-07-03 00:00:00,27,6,38
PROCTER & GAMBLE - EU,2023-07-03 00:00:00,27,249,100
THE FERRERO GROUP - NA,2023-07-03 00:00:00,27,5,65
3M - NA,2023-06-26 00:00:00,26,68,130
BEIERSDORF INCORPORATED - EU,2023-06-26 00:00:00,26,81,50
BROWN FORMAN CORPORATION - NA,2023-06-26 00:00:00,26,70,52
CONAGRA - NA,2023-06-26 00:00:00,26,29,35
DANONE - EU,2023-06-26 00:00:00,26,47,107
HALEON - EU,2023-06-26 00:00:00,26,131,125
HALEON - NA,2023-06-26 00:00:00,26,25,24
INTERNATIONAL PAPER - NA,2023-06-26 00:00:00,26,15,34
JDE - EU,2023-06-26 00:00:00,26,29,20
METAL CONTAINER CORP - NA,2023-06-26 00:00:00,26,21,120
NOVOLEX - NA,2023-06-26 00:00:00,26,53,44
PACKAGING SPECIALTIE - NA,2023-06-26 00:00:00,26,0,70
PEEL PLASTIC PRODUCT - NA,2023-06-26 00:00:00,26,17,35
PROCTER & GAMBLE - EU,2023-06-26 00:00:00,26,179,228
THE FERRERO GROUP - NA,2023-06-26 00:00:00,26,10,70
3M - NA,2023-06-19 00:00:00,25,90,150
