Customer Name,Date,Orders
PILGRIMS PRIDE CORP,2023-10-23 00:00:00,0
POKON NATURADO B.V.,2023-10-23 00:00:00,0
PROCTER & GAMBLE,2023-10-23 00:00:00,267
RECKITT BENCKISER IN,2023-10-23 00:00:00,44
RÉMY COINTREAU,2023-10-23 00:00:00,25
RENAULT,2023-10-23 00:00:00,0
RKW,2023-10-23 00:00:00,0
RKW France Castelletta,2023-10-23 00:00:00,0
ROBERTS MART & CO LTD,2023-10-23 00:00:00,0
ROYAL CANIN,2023-10-23 00:00:00,10
SAICA PACK,2023-10-23 00:00:00,25
SCA HEALTHCARE,2023-10-23 00:00:00,0
SIGNIFY,2023-10-23 00:00:00,32
SIVA PLASTICS,2023-10-23 00:00:00,0
SKYMARK SCUNTHORPE,2023-10-23 00:00:00,0
SMURFIT,2023-10-23 00:00:00,17
ST. JOHN PACKAGING UK LTD.,2023-10-23 00:00:00,3
STARBUCKS COFFEE CO,2023-10-23 00:00:00,0
STEMPHER BV,2023-10-23 00:00:00,0
SYNPAC LIMITED,2023-10-23 00:00:00,1
TAKEDA EU,2023-10-23 00:00:00,20
TETRA PAK,2023-10-23 00:00:00,64
Tevalis Limited,2023-10-23 00:00:00,0
TRANSCONTINENTAL INC.,2023-10-23 00:00:00,0
UFLEX LIMITED,2023-10-23 00:00:00,0
ULTIMATE PACKAGING LTD,2023-10-23 00:00:00,0
UNILEVER,2023-10-23 00:00:00,4
WAITROSE LIMITED,2023-10-23 00:00:00,84
WELL,2023-10-23 00:00:00,0
WM MORRISON SUPERMARKETS PLC,2023-10-23 00:00:00,6
2 SISTERS FOOD GROUP,2023-10-16 00:00:00,10
3M,2023-10-16 00:00:00,0
AIMIA FOODS LTD,2023-10-16 00:00:00,0
ALLIED BAKERIES,2023-10-16 00:00:00,10
AMCOR,2023-10-16 00:00:00,19
ARROW FILM CONVERTORS LTD,2023-10-16 00:00:00,0
ASPLA,2023-10-16 00:00:00,0
ASTRA ZENECA,2023-10-16 00:00:00,65
ATTINDAS,2023-10-16 00:00:00,0
BEIERSDORF INCORPORATED,2023-10-16 00:00:00,45
BEMIS ELSHAM LTD,2023-10-16 00:00:00,0
BISCHOF & KLEIN,2023-10-16 00:00:00,0
BORAN MOPACK,2023-10-16 00:00:00,0
BORAN PLASTIC PACKAGING LTD,2023-10-16 00:00:00,0
BRAYFORD PLASTICS LTD,2023-10-16 00:00:00,0
BRITISH POLYTHENE IND PLC,2023-10-16 00:00:00,11
CARAMBAR & CO SAS,2023-10-16 00:00:00,7
COCA COLA,2023-10-16 00:00:00,186
Covis Pharma GmbH,2023-10-16 00:00:00,8
DANONE,2023-10-16 00:00:00,56
DS SMITH,2023-10-16 00:00:00,0
