Customer Name,Date,S&OP Forecast
CONAGRA - NA,2023-01-16 00:00:00,45
DANONE - EU,2023-01-16 00:00:00,88
HALEON - EU,2023-01-16 00:00:00,115
HALEON - NA,2023-01-16 00:00:00,22
INTERNATIONAL PAPER - NA,2023-01-16 00:00:00,46
JDE - EU,2023-01-16 00:00:00,20
METAL CONTAINER CORP - NA,2023-01-16 00:00:00,115
NOVOLEX - NA,2023-01-16 00:00:00,35
PACKAGING SPECIALTIE - NA,2023-01-16 00:00:00,60
PEEL PLASTIC PRODUCT - NA,2023-01-16 00:00:00,60
PROCTER & GAMBLE - EU,2023-01-16 00:00:00,471
THE FERRERO GROUP - NA,2023-01-16 00:00:00,45
3M - NA,2023-01-23 00:00:00,150
BROWN FORMAN CORPORATION - NA,2023-01-23 00:00:00,5
CONAGRA - NA,2023-01-23 00:00:00,25
DANONE - EU,2023-01-23 00:00:00,64
HALEON - EU,2023-01-23 00:00:00,115
HALEON - NA,2023-01-23 00:00:00,45
INTERNATIONAL PAPER - NA,2023-01-23 00:00:00,46
JDE - EU,2023-01-23 00:00:00,20
METAL CONTAINER CORP - NA,2023-01-23 00:00:00,115
NOVOLEX - NA,2023-01-23 00:00:00,35
PACKAGING SPECIALTIE - NA,2023-01-23 00:00:00,60
PEEL PLASTIC PRODUCT - NA,2023-01-23 00:00:00,55
PROCTER & GAMBLE - EU,2023-01-23 00:00:00,458
THE FERRERO GROUP - NA,2023-01-23 00:00:00,60
3M - NA,2023-01-30 00:00:00,200
BROWN FORMAN CORPORATION - NA,2023-01-30 00:00:00,4
CONAGRA - NA,2023-01-30 00:00:00,35
DANONE - EU,2023-01-30 00:00:00,76
HALEON - EU,2023-01-30 00:00:00,77
HALEON - NA,2023-01-30 00:00:00,72
INTERNATIONAL PAPER - NA,2023-01-30 00:00:00,33
JDE - EU,2023-01-30 00:00:00,15
METAL CONTAINER CORP - NA,2023-01-30 00:00:00,115
NOVOLEX - NA,2023-01-30 00:00:00,25
PACKAGING SPECIALTIE - NA,2023-01-30 00:00:00,70
PEEL PLASTIC PRODUCT - NA,2023-01-30 00:00:00,50
PROCTER & GAMBLE - EU,2023-01-30 00:00:00,439
THE FERRERO GROUP - NA,2023-01-30 00:00:00,65
3M - NA,2023-02-06 00:00:00,230
BROWN FORMAN CORPORATION - NA,2023-02-06 00:00:00,4
CONAGRA - NA,2023-02-06 00:00:00,40
DANONE - EU,2023-02-06 00:00:00,113
HALEON - EU,2023-02-06 00:00:00,85
HALEON - NA,2023-02-06 00:00:00,22
INTERNATIONAL PAPER - NA,2023-02-06 00:00:00,35
JDE - EU,2023-02-06 00:00:00,20
METAL CONTAINER CORP - NA,2023-02-06 00:00:00,120
NOVOLEX - NA,2023-02-06 00:00:00,37
PACKAGING SPECIALTIE - NA,2023-02-06 00:00:00,70
PEEL PLASTIC PRODUCT - NA,2023-02-06 00:00:00,45
PROCTER & GAMBLE - EU,2023-02-06 00:00:00,419
THE FERRERO GROUP - NA,2023-02-06 00:00:00,70
3M - NA,2023-02-13 00:00:00,195
BROWN FORMAN CORPORATION - NA,2023-02-13 00:00:00,0
CONAGRA - NA,2023-02-13 00:00:00,45
DANONE - EU,2023-02-13 00:00:00,87
HALEON - EU,2023-02-13 00:00:00,90
HALEON - NA,2023-02-13 00:00:00,51
INTERNATIONAL PAPER - NA,2023-02-13 00:00:00,37
JDE - EU,2023-02-13 00:00:00,20
METAL CONTAINER CORP - NA,2023-02-13 00:00:00,110
NOVOLEX - NA,2023-02-13 00:00:00,36
PACKAGING SPECIALTIE - NA,2023-02-13 00:00:00,70
PEEL PLASTIC PRODUCT - NA,2023-02-13 00:00:00,50
PROCTER & GAMBLE - EU,2023-02-13 00:00:00,411
THE FERRERO GROUP - NA,2023-02-13 00:00:00,70
3M - NA,2023-02-20 00:00:00,250
BROWN FORMAN CORPORATION - NA,2023-02-20 00:00:00,0
CONAGRA - NA,2023-02-20 00:00:00,47
DANONE - EU,2023-02-20 00:00:00,78
HALEON - EU,2023-02-20 00:00:00,90
HALEON - NA,2023-02-20 00:00:00,16
INTERNATIONAL PAPER - NA,2023-02-20 00:00:00,37
JDE - EU,2023-02-20 00:00:00,40
METAL CONTAINER CORP - NA,2023-02-20 00:00:00,125
NOVOLEX - NA,2023-02-20 00:00:00,43
PACKAGING SPECIALTIE - NA,2023-02-20 00:00:00,70
PEEL PLASTIC PRODUCT - NA,2023-02-20 00:00:00,45
PROCTER & GAMBLE - EU,2023-02-20 00:00:00,434
THE FERRERO GROUP - NA,2023-02-20 00:00:00,75
3M - NA,2023-02-27 00:00:00,300
BROWN FORMAN CORPORATION - NA,2023-02-27 00:00:00,5
CONAGRA - NA,2023-02-27 00:00:00,43
DANONE - EU,2023-02-27 00:00:00,83
HALEON - EU,2023-02-27 00:00:00,110
HALEON - NA,2023-02-27 00:00:00,56
INTERNATIONAL PAPER - NA,2023-02-27 00:00:00,38
JDE - EU,2023-02-27 00:00:00,5
METAL CONTAINER CORP - NA,2023-02-27 00:00:00,120
NOVOLEX - NA,2023-02-27 00:00:00,36
PACKAGING SPECIALTIE - NA,2023-02-27 00:00:00,72
PEEL PLASTIC PRODUCT - NA,2023-02-27 00:00:00,35
PROCTER & GAMBLE - EU,2023-02-27 00:00:00,444
THE FERRERO GROUP - NA,2023-02-27 00:00:00,85
3M - NA,2023-03-06 00:00:00,275
BROWN FORMAN CORPORATION - NA,2023-03-06 00:00:00,0
CONAGRA - NA,2023-03-06 00:00:00,32
DANONE - EU,2023-03-06 00:00:00,66
HALEON - EU,2023-03-06 00:00:00,120
HALEON - NA,2023-03-06 00:00:00,48
INTERNATIONAL PAPER - NA,2023-03-06 00:00:00,38
JDE - EU,2023-03-06 00:00:00,10
METAL CONTAINER CORP - NA,2023-03-06 00:00:00,120
NOVOLEX - NA,2023-03-06 00:00:00,36
PACKAGING SPECIALTIE - NA,2023-03-06 00:00:00,72
PEEL PLASTIC PRODUCT - NA,2023-03-06 00:00:00,41
PROCTER & GAMBLE - EU,2023-03-06 00:00:00,498
THE FERRERO GROUP - NA,2023-03-06 00:00:00,90
3M - NA,2023-03-13 00:00:00,300
BROWN FORMAN CORPORATION - NA,2023-03-13 00:00:00,5
CONAGRA - NA,2023-03-13 00:00:00,48
DANONE - EU,2023-03-13 00:00:00,62
HALEON - EU,2023-03-13 00:00:00,122
HALEON - NA,2023-03-13 00:00:00,34
INTERNATIONAL PAPER - NA,2023-03-13 00:00:00,38
JDE - EU,2023-03-13 00:00:00,10
METAL CONTAINER CORP - NA,2023-03-13 00:00:00,125
NOVOLEX - NA,2023-03-13 00:00:00,34
PACKAGING SPECIALTIE - NA,2023-03-13 00:00:00,72
PEEL PLASTIC PRODUCT - NA,2023-03-13 00:00:00,42
PROCTER & GAMBLE - EU,2023-03-13 00:00:00,425
THE FERRERO GROUP - NA,2023-03-13 00:00:00,90
3M - NA,2023-03-20 00:00:00,250
BROWN FORMAN CORPORATION - NA,2023-03-20 00:00:00,5
CONAGRA - NA,2023-03-20 00:00:00,25
DANONE - EU,2023-03-20 00:00:00,78
HALEON - EU,2023-03-20 00:00:00,125
HALEON - NA,2023-03-20 00:00:00,38
INTERNATIONAL PAPER - NA,2023-03-20 00:00:00,38
JDE - EU,2023-03-20 00:00:00,10
METAL CONTAINER CORP - NA,2023-03-20 00:00:00,130
NOVOLEX - NA,2023-03-20 00:00:00,40
PACKAGING SPECIALTIE - NA,2023-03-20 00:00:00,72
PEEL PLASTIC PRODUCT - NA,2023-03-20 00:00:00,44
PROCTER & GAMBLE - EU,2023-03-20 00:00:00,439
THE FERRERO GROUP - NA,2023-03-20 00:00:00,90
3M - NA,2023-03-27 00:00:00,225
BROWN FORMAN CORPORATION - NA,2023-03-27 00:00:00,5
CONAGRA - NA,2023-03-27 00:00:00,23
DANONE - EU,2023-03-27 00:00:00,61
HALEON - EU,2023-03-27 00:00:00,125
HALEON - NA,2023-03-27 00:00:00,28
INTERNATIONAL PAPER - NA,2023-03-27 00:00:00,38
JDE - EU,2023-03-27 00:00:00,10
METAL CONTAINER CORP - NA,2023-03-27 00:00:00,135
NOVOLEX - NA,2023-03-27 00:00:00,32
PACKAGING SPECIALTIE - NA,2023-03-27 00:00:00,72
PEEL PLASTIC PRODUCT - NA,2023-03-27 00:00:00,49
PROCTER & GAMBLE - EU,2023-03-27 00:00:00,445
THE FERRERO GROUP - NA,2023-03-27 00:00:00,85
3M - NA,2023-04-03 00:00:00,250
BROWN FORMAN CORPORATION - NA,2023-04-03 00:00:00,40
CONAGRA - NA,2023-04-03 00:00:00,35
DANONE - EU,2023-04-03 00:00:00,119
HALEON - EU,2023-04-03 00:00:00,110
HALEON - NA,2023-04-03 00:00:00,42
INTERNATIONAL PAPER - NA,2023-04-03 00:00:00,35
JDE - EU,2023-04-03 00:00:00,15
METAL CONTAINER CORP - NA,2023-04-03 00:00:00,130
NOVOLEX - NA,2023-04-03 00:00:00,42
PACKAGING SPECIALTIE - NA,2023-04-03 00:00:00,34
PEEL PLASTIC PRODUCT - NA,2023-04-03 00:00:00,20
PROCTER & GAMBLE - EU,2023-04-03 00:00:00,319
